,E_SCALED,E_SCALED_ERR,FE_H,FE_H_ERR,ALPHA_FE,ALPHA_FE_ERR,AL_FE,AL_FE_ERR,CE_FE,CE_FE_ERR,MG_MN,MG_MN_ERR
957,-1.605517862935875,0.016639673576697534,-1.2897,0.012244791,-1.129655,0.020223234,-0.285519,0.030572876,0.05294001,0.10964976,0.72795093,0.046876773
958,-1.544194057180129,0.03137088912205974,-1.442,0.021204758,-1.2462051,0.031417392,-0.25331903,0.054000385,-0.22236001,0.10508255,0.72223103,0.07363825
959,-1.615513458056962,0.023254596026063955,-0.42286,0.013714837,-0.210125,0.016761092,0.24059999,0.036561154,-0.18089,0.07580504,0.330271,0.03252904
960,-1.2729734671783195,0.050688099115516236,-0.73637,0.00936902,-0.511065,0.012409322,0.19070101,0.021593964,0.020640016,0.050070107,0.39327103,0.025431693
961,-1.811437881514423,0.009038482602950244,-0.52336,0.019841291,-0.30817503,0.024588143,0.15943101,0.05806852,0.25725,0.11751174,0.40240097,0.049010538
962,-1.5727282776961415,0.0828443783886121,-1.1843,0.010610696,-0.93606496,0.015584373,-0.16771913,0.023617849,-0.26126003,0.055113833,0.526461,0.03436121
963,-1.7389406140842567,0.007965928114192939,-1.3364,0.009760332,-1.1168851,0.017171688,-0.31941903,0.023273107,-0.041159987,0.09782478,0.68998086,0.039606318
964,-1.6650760345519349,0.017140959661775267,-0.5472,0.009409462,-0.26407504,0.01159483,0.21792102,0.021229945,-0.1861,0.037877504,0.43953097,0.022160513
965,-1.8008033895363074,0.017861278736034585,-0.49769,0.015392912,-0.247055,0.019886872,0.267016,0.04517074,-0.005970031,0.13253342,0.37334102,0.04132038
966,-1.319355687570782,0.02781421428252216,-0.94444,0.008865734,-0.796575,0.013718941,-0.20767903,0.02163143,-0.14792001,0.08593197,0.44853503,0.030382687
967,-1.6374585278062506,0.03504868774963688,-0.68353,0.009375456,-0.60676897,0.012249069,-0.2865491,0.02152988,-0.10708004,0.047715884,0.24360019,0.024827434
