,scaled_Energy,scaled_e_Energy,fe_h,e_fe_h,alpha_fe,e_alpha_fe,Na_fe,e_Na_fe,Al_fe,e_Al_fe,Mn_fe,e_Mn_fe,Y_fe,e_Y_fe,Ba_fe,e_Ba_fe,Eu_fe,e_Eu_fe,Mg_cu,e_Mg_cu,Mg_mn,e_Mg_mn,Ba_eu,e_Ba_eu
18,-1.5227756271877082,0.0888896175925104,-1.0408568,0.06303800821994235,0.04062883043275159,0.025818204651647157,0.19922489166259805,0.03985381386853745,0.45372041702270494,0.055345556839591,-0.20396287918090827,0.05525017782269207,0.020595327477067507,0.12001606381832437,0.5114122200012208,0.06866619920181723,0.5327388572692872,0.08250710058344489,0.4974111537339567,0.06948332047528065,0.22578714370727582,0.07644565962233325,-0.021326637268066384,0.10734276202665151
19,-1.7204109175276143,0.0089309937677091,-0.69393015,0.08574325244252737,0.2686139388691972,0.03903273414042183,0.10275882720947305,0.0678625139451732,0.2158440017700194,0.08343116371578789,-0.2576008605957032,0.10249362227371646,0.13135372096923595,0.16708043883524884,0.10296304702758796,0.11139358161433083,0.23510282516479497,0.11705560982227325,0.32197924202200984,0.12011491961853335,0.5312609481811528,0.14272581123954156,-0.132139778137207,0.16158757939808635
20,-1.620772403167123,0.017413372756977,-0.5383563,0.08079296643173303,0.09532261170855925,0.037044899150090765,-0.07791429519653281,0.062272082314339644,0.023393478393554545,0.07850243499700015,-0.24920185089111335,0.09283389947447325,-0.22862466812133775,0.19007799169601922,0.37598569869995124,0.10332316982915674,0.24832361221313481,0.1067167712607937,0.3523430442810058,0.12105407642679808,0.3802799987792973,0.12886480560170135,0.12766208648681643,0.14854005080069593
21,-1.6177160740333665,0.027283877789689,-0.28708363,0.07551267283068817,0.12538820477936222,0.04117885285173238,0.002049865722656641,0.06290147867561974,0.2511585617065428,0.0790693351030095,-0.2598934936523438,0.12382812798023224,0.8840629196166994,0.19215380050765118,0.3820820617675782,0.10424034975217329,0.35352104187011724,0.1072353996829825,-0.02249132027700808,0.11091122936013174,0.3250117111206059,0.15336367758022912,0.02856101989746096,0.1495509326671834
22,-1.628165075052401,0.0339564591939572,-1.0702534,0.054501974134635915,0.335470357507081,0.020790569813258063,-0.11220890045165977,0.02900819955194029,0.009461727142333842,0.03977731933644392,-0.384581642150879,0.03819687873577908,0.7450623538514782,0.06751532480130433,0.31202323913574226,0.04930923052864367,0.39450710296630864,0.06036564426184369,0.6915011024475097,0.0539817618280671,0.695934276580811,0.05400964532315357,-0.08248386383056638,0.07794492428936209
23,-1.6275051242110616,0.0333383631163249,-1.1014032,0.05439906120875745,0.1596987270945645,0.023695094329627853,0.31246036529541055,0.02863724947436322,0.09805568695068345,0.039111191179814264,-0.16646869659423835,0.0376393921116066,0.15566961769436904,0.0695138044511998,0.41331203460693366,0.048577943793389124,0.6132828521728516,0.0592117755965641,0.6616172409057617,0.05322370490575252,0.32392452239990277,0.05330564628392498,-0.19997081756591795,0.0765888437860994
24,-1.6071415302791894,0.0439430294185233,-1.0934763,0.06331939645675215,0.3308031715180188,0.02355008389317992,0.5422462844848637,0.037170010589392496,0.14991649627685533,0.05196105195782981,-0.12960727691650398,0.05092714578655582,0.4283800691733663,0.10730892214225977,0.6130772399902344,0.06413430788794369,0.6462771224975586,0.07827854524693181,0.3395499801635742,0.07040899710990592,0.1846632766723637,0.0706351279025575,-0.0331998825073242,0.1011965419085134
25,-1.7576115263627283,0.0022708439518309,-0.7884002,0.08383341426768241,0.2895212192342629,0.03752179501968194,0.13965887069702188,0.0631274190472328,0.23851188659667955,0.0792720585271429,-0.34316595077514656,0.09430591048804567,0.18196534354189228,0.15581672422805115,0.28379018783569343,0.10456904383388288,0.3152477073669434,0.11160192638635635,0.3592071151733398,0.12281249626270736,0.576887588500977,0.13096875227757193,-0.03145751953124998,0.15293683304383618
26,-1.3623758320015311,0.0292211541515879,-0.9853153,0.06120989035048573,0.09392532633158411,0.025492075830135186,0.08983654022216836,0.042400197674722334,0.27417406082153306,0.0583813215037214,-0.573708610534668,0.05939724863612644,0.31987025667708663,0.10412155280654596,0.9938555526733399,0.07286158465471118,0.5325066375732422,0.08610747752850925,0.6485045287091848,0.07398257520322903,0.7413430023193364,0.08207550593780408,0.4613489151000977,0.11279764272678029
27,-1.6053748104271406,0.0095771206861096,-0.82915497,0.04944818124282966,0.07456906358552957,0.016076126987784174,-0.3064261054992672,0.027763458059701006,-0.16362205505371108,0.03747531743364024,-0.37774141311645515,0.03633685325428596,-0.06053209640665924,0.06379881465952812,0.42014892578125007,0.046823688244073576,0.5723368453979493,0.056266014200690925,0.48240223026555185,0.04789851842439423,0.38799045562744183,0.051672705282055253,-0.1521879196166992,0.07320056102797674
28,-1.4118699814803697,0.0153768724086558,-0.48987198,0.07444869538851741,-0.1057777918919642,0.036968977208750475,-0.5209804153442379,0.06435117925838277,-0.36438289642334,0.08036305573036762,-0.585793571472168,0.09641579034160148,-0.1104068896781911,0.15874476459362727,0.540531234741211,0.1063443574409843,0.3192564773559571,0.10840887848533727,0.5159223518290268,0.11358873112233442,0.39634178161621136,0.13398972863242292,0.22127475738525393,0.1518604862825892
29,-1.698750738448782,0.0131423968305416,-0.73716927,0.05629609996116955,0.0006442499635279383,0.02828015106294121,-0.4682922935485836,0.03170454172868804,-0.2448922729492189,0.04535176604986191,-0.4360233116149903,0.04231560557639611,0.04657357253276604,0.0752681021003833,0.6304322052001954,0.054436054584088844,0.4132820892333985,0.06753556921465238,0.6320223426818847,0.06034752171980339,0.43142173767089886,0.05928756860067226,0.2171501159667969,0.08674293716395015
30,-1.1287689952228597,0.1175065249318708,-1.1980162,0.06652129359611164,0.36974017483956406,0.029926785205243105,-0.05774980545043906,0.05126992198848007,0.02284034729003892,0.06798989098238072,-0.15852935791015632,0.07411873668249366,-0.06752380587677849,0.12677387861195208,-0.07384674072265618,0.08687263712043,0.570152931213379,0.09654889850957295,0.5675526341257533,0.08976747376735521,0.4381532478332524,0.1024110964979199,-0.6439996719360351,0.12987896243683858
